tag,tag_frequency
California,6
biological,4
CalCOFI,3
zooplankton,2
world,2
study,2
oceanographic,2
larval,2
collected,2
biodiversity,2
abundance,2
Fisheries,2
valuable,1
unique,1
underway,1
transmissometer,1
them,1
temperature,1
suite,1
stations),1
station,1
species;,1
species,1
space,1
southern,1
silicate,1
shifted,1
series,1
scientific,1
sardine,1
sampling,1
salinity,1
responses,1
response,1
resources,1
research,1
represents,1
regular,1
range,1
quickly,1
quarterly,1
productivity,1
primary,1
population,1
plankton,1
phytoplankton,1
physical,1
phosphate,1
partnership,1
oxygen,1
organization,1
nitrite,1
nitrate,1
monitoring,1
marine,1
management,1
longest,1
living,1
literature.The,1
length,1
larvae,1
introduced,1
intervals,1
indicators,1
includes,1
include:,1
hydrographic,1
frequency,1
formed,1
focus,1
fish;,1
event,1
environment,1
ecological,1
dramatic,1
documenting,1
depths,1
data,1
cycles,1
cruises,1
conducts,1
complete,1
commercial,1
collecting,1
collapse,1
coast,1
climatic,1
climate,1
chlorophyll,1
chemical,1
change,1
central,1
biomass,1
became,1
attention,1
aspects,1
Wildlife,1
Today,1
Service,1
Scripps,1
Pacific-warming,1
Oceanography,1
Oceanic,1
Niño”,1
Investigations,1
Institution,1
Department,1
Current,1
Cooperative,1
"50,000",1
1957-58,1
(more,1
(CalCOFI),1
(1949-present),1
